filename,url,error
SONORA__CUMPAS__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291242_s.zip,1.0
SONORA__EMPALME__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291266_s.zip,1.0
SONORA__EMPALME__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317706_s.zip,1.0
SONORA__ETCHOJOA__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291273_s.zip,1.0
SONORA__ETCHOJOA__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317713_s.zip,1.0
SONORA__FRONTERAS__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317720_s.zip,1.0
SONORA__GRANADOS__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275723_s.zip,1.0
SONORA__GUAYMAS__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291303_s.zip,1.0
SONORA__GUAYMAS__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317737_s.zip,1.0
SONORA__HERMOSILLO__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317744_s.zip,1.0
SONORA__HUACHINERA__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291327_s.zip,1.0
SONORA__HUACHINERA__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317751_s.zip,1.0
SONORA__HUATABAMPO__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291341_s.zip,1.0
SONORA__HUEPAC__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317775_s.zip,1.0
SONORA__MAGDALENA__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291372_s.zip,1.0
SONORA__MAGDALENA__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317799_s.zip,1.0
SONORA__MAZATAN__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275785_s.zip,1.0
SONORA__MOCTEZUMA__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825291396_s.zip,1.0
SONORA__NACO__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317812_s.zip,1.0
