entidad,formatos,municipio,region
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297046_s.zip,Allende,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297053_s.zip,Arteaga,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297060_s.zip,Candela,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297077_s.zip,Castaños,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297084_s.zip,Cuatro Ciénegas,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297091_s.zip,Escobedo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297107_s.zip,Madero,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297114_s.zip,Frontera,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297121_s.zip,General Cepeda,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297138_s.zip,Guerrero,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825312480_s.zip,Hidalgo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297145_s.zip,Jiménez,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297152_s.zip,Juárez,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825312923_s.zip,Lamadrid,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297169_s.zip,Matamoros,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297176_s.zip,Monclova,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297183_s.zip,Morelos,Urbanas
